,DC,DC,VA,VA,MD,MD
,Lat,Long,Lat,Long,Lat,Long
Westpark & Jones Branch Dr,,,,,,
Potomac Ave & Main Line Blvd,,,,,,
8th & D St NW,38.8946964138502,-77.0098650016565,,,,
Key Blvd & N Quinn St,,,38.8960147,-77.078107,,
Georgia Ave and Fairmont St NW,38.9248997,-77.0222,,,,
3rd & D St SE,38.8851401,-77.002229,,,,
Oklahoma Ave & D St NE,,,,,,
S Joyce & 16th St S,,,,,,
26th & S Clark St,,,,,,
Rhode Island Ave & V St NE,,,,,,
Clarendon Blvd & Pierce St,,,38.8933898,-77.0763908,,
North Capitol St & F St NW,38.8974457,-77.009888,,,,
Wisconsin Ave & O St NW,,,,,,
Hains Point/Buckeye & Ohio Dr SW,,,,,,
8th & F St NE,38.8972214,-77.0048152,,,,
Iwo Jima Memorial/N Meade & 14th St N,,,,,,
Wilson Blvd & N Quincy St,,,,,,
28th St S & S Meade St,,,,,,
Wilson Blvd & N Edgewood St,,,38.8889997,-77.0925,,
USDA / 12th & Independence Ave SW,38.8872718,-77.0282353,,,,
New York Ave & Hecht Ave NE,,,,,,
S Glebe & Potomac Ave,,,38.8425997,-77.0502,,
Georgia Ave & Spring St,,,,,,
River Rd & Landy Ln,,,,,,
Utah St & 11th St N ,,,38.8836681,-77.1138748,,
18th St & Rhode Island Ave NE,,,,,,
S Kenmore & 24th St S,,,,,,
Potomac Greens Dr & Slaters Ln,,,,,,
S Walter Reed Dr & 8th St S,,,,,,
New Jersey Ave & N St NW/Dunbar HS,38.907151,-77.015279,,,,
1st & M St NE,38.9056997,-77.0056,,,,
Columbia Pike & S Walter Reed Dr,,,,,,
8th & East Capitol St NE,38.8898949375,-77.0077943125,,,,
Pleasant St & MLK Ave SE,,,,,,
TJ Cmty Ctr / 2nd St & S Old Glebe Rd,,,,,,
Constitution Ave & 2nd St NW/DOL,,,,,,
14th St Heights / 14th & Crittenden St NW,38.9477737,-77.032818,,,,
Battery Ln & Trolley Trail,,,,,,
M St & New Jersey Ave SE,38.8762997,-77.0037,,,,
Carroll & Ethan Allen Ave,,,,,,
11th & O St NW,38.9086498787392,-77.0096165304048,,,,
Monroe Ave & Leslie Ave,,,38.82093,-77.0531647,,
Bethesda Ave & Arlington Rd,,,,,,
Tysons Corner Station,,,38.918592,-77.2314723,,
